Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
A1BG		ENSG00000121410	Alpha-1-B glycoprotein	19	58345178-58353499	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB016673, HPA044252	Supportive				Tissue enriched	4905	liver: 490.4	adipose tissue: 0.0
A2M	CPAMD5, FWP007, S863-7	ENSG00000175899	Alpha-2-macroglobulin	12	9067664-9116229	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA002265, CAB017621	Supportive				Expressed in all			lung: 969.9
A2ML1	CPAMD9, FLJ25179	ENSG00000166535	Alpha-2-macroglobulin-like 1	12	8822472-8887001	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038847, HPA038848	Supportive				Tissue enriched	7	esophagus: 347.3	skin: 50.3
A4GNT	alpha4GnT	ENSG00000118017	Alpha-1,4-N-acetylglucosaminyltransferase	3	138123718-138132387	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA008017	Supportive				Tissue enriched	11	stomach: 19.2	duodenum: 1.7
AADACL2	MGC72001	ENSG00000197953	Arylacetamide deacetylase-like 2	3	151733916-151761339	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level							Tissue enriched	18	skin: 31.3	tonsil: 1.7
AANAT	SNAT	ENSG00000129673	Aralkylamine N-acetyltransferase	17	76453351-76470117	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA050784	Uncertain				Tissue enhanced	0	testis: 1.3	appendix: 0.3
ABCG1	ABC8	ENSG00000160179	ATP-binding cassette, sub-family G (WHITE), member 1	21	42199689-42297244	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA031470, HPA031471	Uncertain		Supportive	Golgi apparatus, Vesicles, Nucleus but not nucleoli	Expressed in all			spleen: 26.7
ABHD1	FLJ36128, LABH1	ENSG00000143994	Abhydrolase domain containing 1	2	27123789-27130812	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA044390	Uncertain				Tissue enriched	21	testis: 15.1	liver: 0.7
ABHD10	FLJ11342	ENSG00000144827	Abhydrolase domain containing 10	3	111979010-111993363	Enzymes, Mitochondrial proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA036991, HPA036992	Supportive		Supportive	Nucleus, Nucleoli	Expressed in all			kidney: 31.0
ABHD14A	DKFZP564O243, DORZ1	ENSG00000248487	Abhydrolase domain containing 14A	3	51971426-51981199	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA038154, HPA056913	Uncertain		Uncertain	Vesicles, Nucleus	Expressed in all			adrenal gland: 27.2
ABHD15		ENSG00000168792	Abhydrolase domain containing 15	17	29560547-29567137	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA014470	Uncertain		Uncertain	Nucleus but not nucleoli, Cytoplasm	Expressed in all			adipose tissue: 13.6
ABI3BP	DKFZP586L2024, NESHBP, TARSH	ENSG00000154175	ABI family, member 3 (NESH) binding protein	3	100749156-100993515	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA044127, HPA048456	Uncertain		Uncertain	Nucleus, Nucleoli, Cytoplasm, Centrosome	Mixed			gallbladder: 113.8
AC008641.1		ENSG00000279109		5	151016918-151017411	Predicted secreted proteins	No evidence	No evidence								Not detected			adipose tissue: 0.0
AC009133.22		ENSG00000277669	Uncharacterized protein {ECO:0000313|Ensembl:ENSP00000404873} 	16	29663279-29695144	Predicted secreted proteins	Evidence at protein level	Evidence at protein level			HPA011887	Uncertain				Tissue enhanced	0	colon: 1.2;spleen: 1.1;stomach: 0.7	bone marrow: 0.4
AC009491.2		ENSG00000279664		Y	8695281-8743495	Predicted secreted proteins	No evidence	No evidence								Not detected			adipose tissue: 0.0
AC010879.1		ENSG00000278904		Y	14622120-14733537	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level			HPA001651	Uncertain				Tissue enhanced	0	prostate: 0.5;urinary bladder: 0.5	testis: 0.2
AC013412.1		ENSG00000280256		Y	6866073-6872608	Predicted secreted proteins	No evidence	No evidence								Not detected			gallbladder: 0.1
AC136352.7		ENSG00000277666		Unmapped	100123-101141	Predicted secreted proteins	Evidence at protein level	Evidence at protein level			HPA003342	Uncertain				Tissue enhanced	0	testis: 3.2	small intestine: 1.0
AC233755.1		ENSG00000275063		Unmapped	41444-41876	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level								Tissue enriched	5	urinary bladder: 625.5	tonsil: 123.3
