Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q63805	A1AG3_MOUSE	reviewed	Alpha-1-acid glycoprotein 3 (AGP 3) (Orosomucoid-3) (OMD 3)	Orm3 Agp-3 Orm-3	Mus musculus (Mouse)	206
P07758	A1AT1_MOUSE	reviewed	Alpha-1-antitrypsin 1-1 (AAT) (Alpha-1 protease inhibitor 1) (Alpha-1-antiproteinase) (Serine protease inhibitor 1-1) (Serine protease inhibitor A1a) (Serpin A1a)	Serpina1a Dom1 Spi1-1	Mus musculus (Mouse)	413
P22599	A1AT2_MOUSE	reviewed	Alpha-1-antitrypsin 1-2 (AAT) (Alpha-1 protease inhibitor 2) (Alpha-1-antiproteinase) (Serine protease inhibitor 1-2) (Serine protease inhibitor A1b) (Serpin A1b)	Serpina1b Aat2 Dom2 Spi1-2	Mus musculus (Mouse)	413
Q00897	A1AT4_MOUSE	reviewed	Alpha-1-antitrypsin 1-4 (Alpha-1 protease inhibitor 4) (Serine protease inhibitor 1-4) (Serine protease inhibitor A1d) (Serpin A1d)	Serpina1d Dom4 Spi1-4	Mus musculus (Mouse)	413
Q8C1A9	ABD18_MOUSE	reviewed	Protein ABHD18 (Alpha/beta hydrolase domain-containing protein 18) (Abhydrolase domain-containing protein 18)	Abhd18	Mus musculus (Mouse)	464
Q8R0I0	ACE2_MOUSE	reviewed	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) [Cleaved into: Processed angiotensin-converting enzyme 2]	Ace2	Mus musculus (Mouse)	805
P12961	7B2_MOUSE	reviewed	Neuroendocrine protein 7B2 (Secretogranin V) (Secretogranin-5) (Secretory granule endocrine protein I) [Cleaved into: N-terminal peptide; C-terminal peptide]	Scg5 Sgne-1 Sgne1	Mus musculus (Mouse)	212
Q19LI2	A1BG_MOUSE	reviewed	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	A1bg	Mus musculus (Mouse)	512
P21836	ACES_MOUSE	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	Ache	Mus musculus (Mouse)	614
Q99JW1	AB17A_MOUSE	reviewed	Protein ABHD17A (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 17A) (Abhydrolase domain-containing protein 17A)	Abhd17a D10Bwg1364e	Mus musculus (Mouse)	310
Q61247	A2AP_MOUSE	reviewed	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	Serpinf2 Pli	Mus musculus (Mouse)	491
Q8BX37	ACP7_MOUSE	reviewed	Acid phosphatase type 7 (EC 3.1.3.2) (Purple acid phosphatase long form)	Acp7 Papl Papl1	Mus musculus (Mouse)	438
Q7M759	AB17B_MOUSE	reviewed	Protein ABHD17B (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 17B) (Abhydrolase domain-containing protein 17B)	Abhd17b	Mus musculus (Mouse)	288
O70456	1433S_MOUSE	reviewed	14-3-3 protein sigma (Stratifin)	Sfn Mkrn3	Mus musculus (Mouse)	248
Q9DCQ7	A1AT6_MOUSE	reviewed	Alpha-1-antitrypsin 1-6 (Alpha-1 protease inhibitor 6) (Alpha-1-antiproteinase) (Serine protease inhibitor 1-6) (Serine protease inhibitor A1f) (Serpin A1f)	Serpina1f	Mus musculus (Mouse)	411
Q5F2F2	ABH15_MOUSE	reviewed	Protein ABHD15 (EC 3.1.1.-) (Alpha/beta hydrolase domain-containing protein 15) (Abhydrolase domain-containing protein 15)	Abhd15	Mus musculus (Mouse)	459
Q60590	A1AG1_MOUSE	reviewed	Alpha-1-acid glycoprotein 1 (AGP 1) (Orosomucoid-1) (OMD 1)	Orm1 Agp1 Orm-1	Mus musculus (Mouse)	207
P07361	A1AG2_MOUSE	reviewed	Alpha-1-acid glycoprotein 2 (AGP 2) (Orosomucoid-2) (OMD 2)	Orm2 Agp-2 Orm-2	Mus musculus (Mouse)	207
Q00896	A1AT3_MOUSE	reviewed	Alpha-1-antitrypsin 1-3 (Alpha-1 protease inhibitor 3) (Alpha-1 protease inhibitor 6) (Alpha-1-antitrypsin 1-6) (Serine protease inhibitor 1-3) (Serine protease inhibitor 1-6) (Serine protease inhibitor A1c) (Serpin A1c)	Serpina1c Dom3 Dom6 Spi1-3 Spi1-6	Mus musculus (Mouse)	412
Q00898	A1AT5_MOUSE	reviewed	Alpha-1-antitrypsin 1-5 (Alpha-1 protease inhibitor 5) (Serine protease inhibitor 1-5) (Serine protease inhibitor A1e) (Serpin A1e)	Serpina1e Dom5 Spi1-5	Mus musculus (Mouse)	413
Q6GQT1	A2MG_MOUSE	reviewed	Alpha-2-macroglobulin-P (Alpha-2-macroglobulin)	A2m A2mp	Mus musculus (Mouse)	1474
Q3V140	ACRBP_MOUSE	reviewed	Acrosin-binding protein (Proacrosin-binding protein sp32)	Acrbp	Mus musculus (Mouse)	540
Q60994	ADIPO_MOUSE	reviewed	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipocyte-specific protein AdipoQ)	Adipoq Acdc Acrp30 Apm1	Mus musculus (Mouse)	247
P97297	ADML_MOUSE	reviewed	ADM [Cleaved into: Adrenomedullin (AM); Proadrenomedullin N-20 terminal peptide (ProAM N-terminal 20 peptide) (PAMP) (ProAM-N20)]	Adm	Mus musculus (Mouse)	184
P09470	ACE_MOUSE	reviewed	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	Ace Dcp1	Mus musculus (Mouse)	1312
Q9R1V7	ADA23_MOUSE	reviewed	Disintegrin and metalloproteinase domain-containing protein 23 (ADAM 23) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3) (MDC-3)	Adam23 Mdc3	Mus musculus (Mouse)	829
Q7TNK8	ADM2_MOUSE	reviewed	ADM2 (Intermedin) [Cleaved into: Adrenomedullin-2 (AM2) (Intermedin-long) (IMDL); Intermedin-short (IMDS)]	Adm2 Am2	Mus musculus (Mouse)	150
Q640N1	AEBP1_MOUSE	reviewed	Adipocyte enhancer-binding protein 1 (AE-binding protein 1) (Aortic carboxypeptidase-like protein)	Aebp1 Aclp	Mus musculus (Mouse)	1128
O89020	AFAM_MOUSE	reviewed	Afamin (Alpha-albumin) (Alpha-Alb)	Afm	Mus musculus (Mouse)	608
Q7TN31	AGGF1_MOUSE	reviewed	Angiogenic factor with G patch and FHA domains 1 (Angiogenic factor VG5Q) (mVG5Q)	Aggf1 Vg5q	Mus musculus (Mouse)	711
Q9Z0F8	ADA17_MOUSE	reviewed	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	Adam17 Tace	Mus musculus (Mouse)	827
Q9D0L4	ADCK1_MOUSE	reviewed	Uncharacterized aarF domain-containing protein kinase 1 (EC 2.7.11.-)	Adck1	Mus musculus (Mouse)	525
Q9R0X2	ADEC1_MOUSE	reviewed	ADAM DEC1 (EC 3.4.24.-) (A disintegrin and metalloproteinase domain-like protein decysin-1) (ADAM-like protein decysin-1)	Adamdec1	Mus musculus (Mouse)	467
O88312	AGR2_MOUSE	reviewed	Anterior gradient protein 2 homolog (AG-2) (mAG-2) (Protein Gob-4) (Secreted cement gland protein XAG-2 homolog)	Agr2 Gob4	Mus musculus (Mouse)	175
Q8R2Z0	ADIPL_MOUSE	reviewed	Adipolin (Adipose-derived insulin-sensitizing factor) (Complement C1q tumor necrosis factor-related protein 12) [Cleaved into: Adipolin fCTRP12 (Adipolin full-length form); Adipolin gCTRP12 (Adipolin cleaved form)]	Fam132a C1qdc2 C1qtnf12 Ctrp12	Mus musculus (Mouse)	308
P56473	AGRP_MOUSE	reviewed	Agouti-related protein	Agrp Agrt Art	Mus musculus (Mouse)	131
P31230	AIMP1_MOUSE	reviewed	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2 (EMAP-2) (Endothelial monocyte-activating polypeptide II) (EMAP-II) (Small inducible cytokine subfamily E member 1)]	Aimp1 Emap2 Scye1	Mus musculus (Mouse)	310
P07724	ALBU_MOUSE	reviewed	Serum albumin	Alb Alb-1 Alb1	Mus musculus (Mouse)	608
